relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
1	4.43	4	6	6	0	0	0	0	64	7	0.5
1	2.0	2	0	0	2	0	0	0	5	1	0.62
1	2.0	2	0	0	8	0	0	0	4	4	0.4
1	1.38	5	0	0	4	0	1	0	36	8	0.49
1	0.0	1	0	0	0	0	0	0	102	38	0.56
1	0.0	2	0	3	0	0	0	0	7	1	0.28
1	0.0	2	0	12	0	0	0	0	10	1	0.24
1	2.0	5	0	0	4	0	1	0	55	3	0.61
1	4.5	4	7	7	0	0	0	0	108	8	0.43
1	0.75	2	0	3	0	0	0	0	46	4	0.61
1	0.0	1	0	0	0	0	0	0	20	3	0.62
1	0.0	2	0	10	0	0	0	0	20	1	0.24
1	4.69	4	12	12	0	0	0	0	109	13	0.49
1	0.0	1	0	0	0	0	0	0	36	6	0.54
1	0.0	1	0	0	0	0	0	0	21	8	0.64
1	0.0	1	0	0	0	0	0	0	52	1	0.48
1	1.5	5	0	0	4	0	1	0	90	6	0.43
1	0.0	1	0	0	0	0	0	0	143	1	0.52
1	0.0	1	0	0	0	0	0	0	10	4	0.59
1	0.0	1	0	7	0	0	0	0	14	6	0.34
1	1.6	5	0	0	4	0	1	0	10	5	0.34
1	0.0	1	0	0	0	0	0	0	16	5	0.64
1	2.0	2	0	0	14	0	0	0	21	7	0.7
1	1.6	5	0	0	4	0	1	0	15	5	0.52
1	0.0	1	0	0	0	0	0	0	2	1	0.4
1	0.0	2	0	8	0	0	0	0	8	1	0.17
1	0.88	2	0	7	0	0	0	0	59	8	0.58
1	2.0	2	0	0	2	0	0	0	9	1	0.69
1	2.0	2	0	0	4	0	0	0	29	2	0.56
1	4.64	4	10	10	0	0	0	0	92	11	0.46
1	0.0	1	0	0	0	0	0	0	9	5	0.38
1	2.0	2	0	0	6	0	0	0	0	3	0.0
1	0.0	1	0	0	0	0	0	0	7	6	0.44
1	1.5	5	0	0	4	0	1	0	85	6	0.5
1	0.0	1	0	8	0	0	0	0	14	7	0.45
1	0.0	1	0	0	0	0	0	0	125	1	0.5
1	2.0	2	0	0	10	0	0	0	11	5	0.48
1	1.0	2	0	0	0	0	0	0	23	6	0.45
1	1.5	5	0	0	4	0	1	0	31	6	0.52
1	2.0	2	0	0	4	0	0	0	9	2	0.82
1	4.43	4	6	6	0	0	0	0	88	7	0.43
1	2.0	2	0	0	8	0	0	0	3	4	0.38
1	1.5	5	0	0	4	0	1	0	73	6	0.46
1	0.0	1	0	0	0	0	0	0	18	3	0.56
1	0.0	1	0	0	0	0	0	0	31	9	0.44
1	1.6	5	0	0	4	0	1	0	18	5	0.43
1	0.0	1	0	0	0	0	0	0	7	8	0.47
1	0.0	1	0	0	0	0	0	0	37	1	0.49
1	2.0	2	0	0	12	0	0	0	20	6	0.62
1	0.0	1	0	0	0	0	0	0	8	4	0.53
1	2.0	2	0	0	4	0	0	0	25	2	0.64
1	2.0	2	0	0	8	0	0	0	32	4	0.52
1	0.0	2	7	31	0	0	0	0	20	1	0.12
1	0.0	1	0	0	0	0	0	0	10	5	0.56
1	0.9	2	0	9	0	0	0	0	33	10	0.43
1	0.0	1	0	0	0	0	0	0	49	1	0.53
1	0.0	1	0	0	0	0	0	0	30	1	0.41
1	2.0	2	0	0	20	0	0	0	28	10	0.7
1	1.5	5	0	0	4	0	1	0	96	6	0.57
1	1.33	5	0	0	4	0	1	0	58	9	0.56
1	4.43	4	6	6	0	0	0	0	106	7	0.41
1	0.0	1	0	0	0	0	0	0	93	1	0.47
