relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr
0	3	15	0	0	0	0	0	0	7	30	1	16
1	3	0	0	0	0	0	0	0	52	72	0	36
0	7	0	0	13	6	0	19	0	136	98	21	18
1	4	0	7	0	0	0	0	0	108	116	132	132
1	4	0	0	0	0	10	0	0	38	51	51	51
0	7	0	0	9	4	0	12	0	116	86	24	23
0	3	0	0	0	0	0	1	0	3	1	0	1
1	3	0	0	0	0	0	0	0	15	40	0	20
1	6	0	3	1	0	0	6	0	28	4	4	4
1	6	0	1	1	0	0	2	0	20	4	4	4
0	7	0	0	9	4	0	13	0	144	82	23	22
1	10	0	3	1	0	0	5	0	33	6	6	6
1	3	0	0	0	0	0	0	0	8	18	0	5
0	6	2	0	3	0	0	2	0	97	2	1	3
0	6	0	0	12	4	0	8	9	194	4	4	2
0	7	0	0	13	6	0	19	0	154	128	26	23
0	7	0	0	12	5	0	17	0	145	67	17	15
1	4	0	0	0	0	0	1	0	44	67	0	34
0	7	0	0	13	6	0	19	0	159	128	26	23
1	3	0	0	0	0	0	0	0	21	30	0	15
1	6	2	0	1	0	0	2	0	36	26	0	7
1	4	0	0	0	0	0	1	0	31	73	0	37
0	6	0	0	12	4	0	8	9	191	4	4	2
0	5	1	0	0	0	0	0	1	26	1	0	1
1	4	0	0	10	0	0	0	0	36	10	10	10
0	4	0	3	0	4	0	0	0	0	4	0	1
1	10	0	1	1	0	0	2	0	22	5	5	5
1	4	0	0	0	0	0	1	0	35	69	0	35
1	4	0	0	9	0	0	0	0	35	9	9	9
0	3	14	0	0	0	0	0	0	11	28	1	15
0	5	0	0	0	0	6	0	0	20	12	12	12
0	7	0	0	14	6	0	21	0	172	128	26	23
1	10	0	3	1	0	0	6	0	43	10	10	10
1	6	0	3	1	0	0	5	0	39	8	8	8
1	6	2	0	1	0	0	2	0	37	22	0	6
1	1	0	10	0	0	9	0	0	11	0	0	0
1	3	0	0	0	0	0	0	0	14	46	0	23
0	5	0	0	12	1	0	1	0	10	12	3	5
1	10	0	3	1	0	0	5	0	37	7	7	7
1	3	0	0	0	0	0	0	0	16	30	0	8
0	6	0	0	12	5	0	18	0	157	92	22	20
1	3	0	0	0	0	0	0	0	12	22	0	6
0	7	0	0	14	6	0	22	0	176	128	26	23
0	5	1	0	5	0	0	2	0	1	2	0	2
0	15	0	0	0	5	0	0	1	15	9	0	7
0	6	0	0	13	6	0	23	0	211	116	24	21
0	7	0	0	13	6	0	21	0	161	128	26	23
1	6	2	0	1	0	0	2	0	39	34	0	9
0	7	0	0	13	6	0	22	0	139	128	26	23
0	6	0	0	13	6	0	21	0	237	116	24	21
1	3	0	0	0	0	0	0	0	0	1	1	1
1	10	0	3	1	0	0	5	0	36	8	8	8
