relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
0	3	4	0	0	0	0	0	0	23	8	1	5	0.23
1	4	0	0	9	0	0	0	0	27	9	9	9	0.62
0	3	0	0	2	0	0	0	0	3	1	1	2	0.37
1	10	0	3	1	0	0	5	0	39	6	6	6	0.4
1	10	0	2	1	0	0	6	0	34	8	8	8	0.34
0	6	0	3	9	3	0	6	6	96	3	3	2	0.46
0	5	0	0	4	0	27	27	0	38	7	0	1	0.58
1	6	0	3	1	0	0	4	0	31	7	7	7	0.39
0	7	0	0	9	4	0	15	0	77	86	24	23	0.55
1	6	2	0	1	0	0	2	0	58	42	0	11	0.52
1	3	0	0	0	0	0	0	0	26	69	0	35	0.13
0	5	0	3	6	3	0	0	6	9	3	3	2	0.11
1	6	0	3	1	0	0	4	0	40	8	8	8	0.45
1	6	0	3	1	0	0	5	0	37	7	7	7	0.44
0	6	2	0	3	0	0	2	0	22	2	1	3	0.48
0	3	0	0	0	0	0	0	0	9	4	4	4	0.42
1	10	10	0	2	0	9	9	1	51	1	0	1	0.34
0	7	0	0	13	6	0	19	0	91	128	26	23	0.54
0	5	15	60	0	0	0	0	0	142	5	0	1	0.42
1	6	0	2	1	0	0	6	0	32	7	7	7	0.43
0	7	0	0	13	6	0	19	0	90	128	26	23	0.53
0	7	0	0	9	4	0	14	0	79	86	24	23	0.55
1	4	0	0	10	0	0	0	0	23	10	10	10	0.57
1	4	0	0	0	0	0	1	0	50	79	0	40	0.2
0	10	1	0	5	3	0	0	0	11	4	0	2	0.36
1	4	0	0	0	0	0	1	0	15	49	0	25	0.13
1	10	0	2	1	0	0	6	0	35	6	6	6	0.37
0	6	0	0	13	6	0	23	0	57	152	30	27	0.27
1	6	0	3	1	0	0	7	0	38	8	8	8	0.45
1	4	0	0	10	0	0	0	0	71	10	10	10	0.55
0	6	0	0	14	6	0	22	0	73	152	30	27	0.31
1	6	0	1	1	0	0	1	0	25	7	7	7	0.35
1	6	2	0	1	0	0	2	0	33	6	0	2	0.48
0	7	0	0	11	5	0	17	0	83	102	24	22	0.52
1	4	0	0	9	0	0	0	0	23	9	9	9	0.65
0	3	4	11	0	0	0	0	0	8	8	1	5	0.24
1	6	0	2	1	0	0	6	0	39	8	8	8	0.43
1	4	0	0	0	0	0	1	0	43	79	0	40	0.18
0	5	0	0	10	0	0	1	0	18	4	4	2	0.36
0	19	6	1	31	30	0	0	0	77	48	0	32	0.49
0	6	0	0	12	4	0	8	11	105	4	4	2	0.38
0	5	0	3	6	3	0	0	6	32	3	3	2	0.43
1	3	0	0	0	0	0	0	0	48	54	0	27	0.66
1	6	3	0	2	0	0	1	0	36	2	2	2	0.54
1	3	0	0	0	0	0	0	0	15	16	0	5	0.51
1	6	0	3	1	0	0	7	0	41	7	7	7	0.42
1	10	0	3	1	0	0	6	0	51	9	9	9	0.43
0	7	0	0	13	6	0	22	0	85	128	26	23	0.57
0	5	0	3	6	3	0	0	6	12	3	3	2	0.14
0	5	0	3	6	3	0	0	7	46	3	3	2	0.53
1	2	0	8	0	0	7	0	0	14	0	0	0	0.34
1	6	2	0	1	0	0	2	0	46	20	0	5	0.52
0	5	1	0	0	0	0	1	0	10	4	0	2	0.47
0	6	0	0	10	0	0	0	0	12	2	0	1	0.08
0	7	1	0	0	1	0	0	0	5	2	0	2	0.41
0	4	2	0	0	0	0	0	24	12	16	4	5	0.36
1	10	0	3	1	0	0	7	0	43	9	9	9	0.39
1	6	0	3	1	0	0	4	0	38	7	7	7	0.44
0	6	1	2	0	1	0	0	0	5	1	0	1	0.62
0	7	0	0	13	6	0	21	0	104	128	26	23	0.54
1	10	0	3	1	0	0	5	0	35	6	6	6	0.35
0	3	10	0	0	0	0	0	0	14	20	1	11	0.23
0	3	0	0	0	0	0	0	0	8	4	4	4	0.38
0	7	0	0	11	5	0	17	0	86	72	18	16	0.5
1	10	11	0	3	0	9	9	1	57	1	0	1	0.36
1	6	0	2	1	0	0	5	0	35	8	8	8	0.42
1	10	0	3	1	0	0	5	0	35	8	8	8	0.35
