relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
0	7	0	0	13	6	0	23	0	43	128	26	23	0.26
0	6	0	0	14	6	0	24	0	32	80	18	15	0.25
0	3	23	0	0	0	0	0	0	15	46	1	24	0.12
0	3	3	0	0	0	0	0	0	3	6	1	4	0.17
0	11	1	0	21	0	0	4	1	3	3	0	3	0.06
0	7	0	0	13	6	0	19	0	43	128	26	23	0.24
0	5	0	0	8	4	0	0	8	13	4	4	2	0.07
0	3	1	0	0	0	0	0	0	6	2	1	2	0.38
0	3	2	0	0	0	0	0	0	2	4	1	3	0.04
0	6	0	0	13	6	0	22	0	38	122	25	22	0.24
0	5	0	3	6	3	0	0	6	34	3	3	2	0.26
0	6	1	0	0	1	0	0	0	0	2	0	2	0.0
0	5	0	0	8	4	0	0	8	30	4	4	2	0.28
0	7	0	0	9	4	0	13	0	42	86	24	23	0.3
0	14	1	0	5	5	0	0	0	5	7	0	5	0.13
0	3	0	0	0	0	0	0	0	3	4	4	4	0.14
0	3	12	0	0	0	0	0	0	4	24	1	13	0.04
0	5	0	0	9	1	0	1	0	4	9	3	4	0.16
0	7	0	0	9	4	0	15	0	31	30	10	9	0.36
0	11	0	0	0	0	7	7	0	1	5	0	3	0.02
0	3	15	0	0	0	0	0	0	4	30	1	16	0.04
0	6	0	0	12	5	0	18	0	49	92	22	20	0.25
0	3	4	4	0	0	0	0	0	0	8	1	5	0.0
0	5	0	6	0	1	0	0	0	6	2	0	1	0.13
0	10	1	0	5	3	0	0	0	6	4	0	2	0.29
0	6	0	0	13	6	0	21	0	49	116	24	21	0.22
0	3	4	0	0	0	0	0	0	12	8	1	5	0.12
0	3	0	0	4	0	0	0	0	3	2	2	2	0.18
0	6	0	3	6	3	0	0	15	45	3	3	2	0.17
0	3	0	0	0	0	0	0	0	8	14	14	14	0.16
0	5	0	3	6	3	0	0	6	19	3	3	2	0.26
0	3	5	0	0	0	0	0	0	3	10	1	6	0.14
0	5	15	60	0	0	0	0	0	63	5	0	1	0.19
0	7	0	0	14	6	0	24	0	32	80	18	15	0.26
0	6	0	0	10	0	0	0	0	3	2	0	1	0.06
0	6	0	119	4	16	0	2	0	94	7	0	5	0.16
0	8	4	0	2	0	2	3	2	16	1	0	1	0.17
0	5	0	0	2	0	0	0	0	4	9	0	3	0.2
0	6	0	0	13	6	0	17	0	25	80	18	15	0.21
0	7	0	0	0	0	3	2	0	3	1	0	1	0.75
0	5	1	0	0	0	0	0	1	14	1	0	1	0.19
0	6	0	0	13	6	0	21	0	30	80	18	15	0.25
0	7	1	0	0	1	0	0	0	2	2	0	2	0.15
0	10	0	0	0	0	0	1	0	1	1	0	1	0.1
0	6	28	86	0	0	0	0	0	87	5	0	1	0.18
0	7	0	0	9	4	0	14	0	41	86	24	23	0.29
0	3	13	0	0	0	0	0	0	4	26	1	14	0.05
0	3	7	0	0	0	0	0	0	3	14	1	8	0.05
0	7	0	0	11	5	0	18	0	49	107	25	23	0.29
0	8	0	1	7	0	0	1	0	1	6	0	1	0.05
0	5	2	3	0	1	0	0	2	27	2	0	2	0.21
0	14	1	1	5	5	0	0	0	8	7	0	5	0.22
0	7	0	0	13	6	0	20	0	55	128	26	23	0.29
0	7	0	0	13	6	0	20	0	48	128	26	23	0.27
0	7	0	0	11	5	0	16	0	46	107	25	23	0.29
0	4	0	0	1	2	0	0	0	0	1	0	1	0.0
0	4	0	0	0	4	0	0	0	0	4	0	2	0.0
0	6	0	3	9	3	0	6	6	25	3	3	2	0.23
0	3	1	0	0	1	0	0	1	5	1	0	1	0.19
0	3	0	0	0	0	0	0	0	1	3	3	3	0.08
0	6	0	0	10	0	0	12	0	0	15	0	5	0.0
0	3	0	0	0	1	0	0	0	0	1	0	1	0.0
0	6	0	3	6	3	0	0	8	35	3	3	2	0.27
0	6	0	0	4	0	0	0	0	4	6	0	1	0.4
0	7	0	1	0	2	0	0	1	15	3	0	3	0.32
0	7	0	0	9	4	0	13	0	46	86	24	23	0.26
0	10	1	1	5	3	0	0	0	11	4	0	2	0.27
0	5	4	10	0	1	0	0	0	7	2	0	1	0.1
0	10	1	0	5	3	0	0	0	12	4	0	2	0.36
0	7	0	0	13	6	0	17	0	45	128	26	23	0.27
0	6	0	0	10	0	0	15	0	0	15	0	5	0.0
0	7	0	0	13	6	0	23	0	39	86	19	16	0.35
0	6	0	3	9	3	0	6	6	46	3	3	2	0.23
0	7	0	0	13	6	0	22	0	32	86	19	16	0.23
0	6	15	11	80	7	0	5	0	16	90	6	16	0.09
0	3	1	2	0	0	0	0	0	1	2	1	2	0.11
0	5	0	0	8	0	0	0	8	47	4	4	2	0.24
0	6	2	0	3	0	0	2	0	38	2	1	3	0.13
0	7	0	0	0	0	3	2	0	2	1	0	1	0.67
0	6	2	0	3	0	0	2	0	12	2	1	3	0.13
0	6	0	22	1	2	0	0	0	4	4	0	1	0.2
0	7	0	0	9	4	0	12	0	42	86	24	23	0.3
0	7	0	0	13	6	0	21	0	45	128	26	23	0.28
0	4	1	2	0	0	0	0	0	1	1	0	1	0.14
0	14	1	0	5	5	0	0	0	18	7	0	5	0.44
